64,8070
65,8066
66,8065
108,8047
110,8048
110,8067
124,8049
124,8068
126,8050
126,8069
151,8071
151,8073
159,8074
168,8077
194,8079
195,8072
197,8078
198,8084
199,8051
201,8052
201,8080
201,8081
201,8082
201,8083
203,8085
203,8086
203,8087
739,8090
742,8088
751,8091
772,8053
790,8098
797,8096
827,8102
834,8100
855,8107
903,8111
911,8113
930,8115
938,8117
954,8119
972,8123
979,8127
982,8125
989,8132
995,8137
1010,8138
1017,8141
1032,8232
1033,8231
1036,8234
1038,8145
1051,8149
1072,8154
1073,8153
1080,8158
1089,8056
1090,8055
1119,8159
1120,8150
1127,8157
1152,8155
1161,8162
1171,8089
1183,8054
1197,8166
1202,8169
1217,8167
1225,8168
1226,8173
1257,8175
1266,8178
1267,8177
1286,8176
1289,8180
1340,8181
1360,8189
1383,8192
1392,8205
1393,8204
1396,8208
1397,8207
1401,8197
1401,8209
1430,8214
1431,8213
1444,8216
1445,8215
1466,8236
1479,8212
1480,8240
1543,8249
1574,8253
1580,8247
1597,8256
1598,8104
1621,8171
1629,8172
1630,8258
1670,8259
1780,8203
1844,8299
1871,8260
1872,8220
2779,8278
2801,8267
2804,8269
2807,8271
2808,8270
2811,8273
2812,8272
2819,8291
2822,8293
2823,8292
3247,8287
5088,8286
5100,8058
5101,8057
5107,8281
5244,8295
5245,8294
5425,8129
5434,8135
5435,8134
5437,8303
5438,8133
5438,8302
5447,8304
5547,8147
5677,8199
5685,8195
6067,8230
6142,8063
6148,8062
6149,8061
6152,8059
6157,8316
6158,8280
6165,8060
6170,8313
6171,8312
6174,8064
6289,8075
6290,8076
6368,8092
6379,8093
6381,8094
6382,8095
6383,8097
6384,8099
6386,8101
6387,8103
6388,8106
6389,8105
6394,8110
6395,8109
6396,8108
6414,8112
6415,8114
6420,8116
6421,8118
6429,8121
6430,8120
6439,8122
6440,8124
6441,8126
6442,8128
6443,8130
6444,8131
6445,8136
6446,8139
6448,8140
6450,8218
6451,8142
6452,8143
6453,8144
6453,8225
6453,8228
6454,8224
6455,8229
6456,8146
6459,8148
6459,8235
6459,8237
6460,8151
6461,8152
6464,8156
6470,8160
6471,8251
6473,8161
6478,8164
6481,8163
6482,8165
6489,8170
6491,8174
6496,8179
6510,8182
6513,8183
6520,8184
6521,8185
6522,8187
6525,8186
6530,8188
6531,8191
6534,8190
6541,8193
6542,8194
6550,8196
6553,8198
6555,8200
6556,8201
6557,8202
6558,8206
6559,8210
6561,8211
6568,8217
6570,8219
6571,8221
6572,8222
6573,8223
6574,8226
6575,8227
6576,8233
6577,8238
6578,8239
6579,8242
6582,8241
6583,8243
6584,8244
6585,8245
6586,8246
6588,8248
6593,8250
6594,8252
6596,8254
6601,8255
6603,8257
6606,8261
6609,8262
6610,8263
6911,8264
6912,8265
6913,8266
6915,8268
6930,8274
6931,8276
6932,8275
6935,8277
6936,8279
6943,8315
7141,8282
7438,8284
7439,8283
7457,8285
7458,8288
7459,8289
7461,8290
7480,8297
7481,8296
7525,8298
7527,8300
7529,8301
7548,8305
7575,8306
7576,8307
7586,8308
7591,8310
7592,8309
7596,8311
7598,8314
7757,8317
7949,8318
